id;position;room;working_hour_begin;working_hour_end;days_work
1;program Yen SMS;Sleek Cotton Keyboard;2020-02-19;2020-02-18;WEDNESDAY
2;benchmark Bike;Borders deposit Clothing;2020-02-18;2020-02-19;THURSDAY
3;object-oriented Team-oriented;FTP Liaison Austria;2020-02-19;2020-02-18;MONDAY
4;Computers bypassing AI;Berkshire;2020-02-19;2020-02-18;FRIDAY
5;Frozen New Hampshire;Outdoors Liberian Dollar;2020-02-18;2020-02-19;FRIDAY
6;Barbados Dollar even-keeled;Plastic purple TCP;2020-02-19;2020-02-19;WEDNESDAY
7;Marketing CSS South Carolina;Wooden feed;2020-02-19;2020-02-18;SUNDAY
8;digital Ergonomic Wooden Chicken Wooden;Accounts;2020-02-19;2020-02-19;WEDNESDAY
9;Licensed Granite Pizza;24/365 engage;2020-02-19;2020-02-18;FRIDAY
10;Arkansas;withdrawal navigating navigating;2020-02-18;2020-02-18;WEDNESDAY
